newspaper,owner,status
ZAMAN,Feza Yayıncılık,destekçi
POSTA,Demirören,destekçi
HÜRRİYET,Demirören,destekçi
SÖZCÜ,Burak Akbay,muhalif
SABAH,Turkuvaz,destekçi
HABERTÜRK,Ciner Holding,destekçi
P.FOTOMAÇ,Turkuvaz,destekçi
TÜRKİYE,İhlas Holding,destekçi
MİLLİYET,Demirören,destekçi
FANATİK,Demirören,destekçi
BUGÜN,Koza İpek Holding,destekçi
YENİ ŞAFAK,Albayrak,destekçi
TAKVİM,Turkuvaz,destekçi
AKŞAM,T Medya,destekçi
VATAN,Demirören,destekçi
GÜNEŞ,T Medya,destekçi
STAR,Star Medya,destekçi
TARAF,Alkım Gazetecilik,muhalif
AYDINLIK,Şefik Hüsnü Değmer,muhalif
CUMHURİYET,Cumhuriyet Vakfı,muhalif
YENİ ÇAĞ,Yeni Çağ Gazetecilik ve Baskı,muhalif
YENİ ASYA,Yeni Asya Gazetecilik ve Baskı,destekçi
MİLLET,İleri Gazetecilik,destekçi
YENİ AKİT,‎Ramazan Fatih Uğurlu,destekçi
AMK,‎Burak Akbay,muhalif
ŞOK,ABC Medya Ajansı,destekçi
MİLLİ GAZETE,Yeni Neşriyat,destekçi
YURT,Ayna Gazetecilik ve Yapım,destekçi
MEYDAN,Feza Yayıncılık,destekçi
KORKUSUZ,Burak Akbay,muhalif
MİLAT,MEKA Gazetecilik,destekçi
YENİ YÜZYIL,Mansur Topçuoğlu,destekçi
İSTİKLAL,Hüseyin Arif Çakmak,destekçi
YARINA BAKIŞ,Feza Yayıncılık,destekçi
KARAR,Karar Yayıncılık,destekçi
ÖZGÜR DÜŞÜNCE,Feza Yayıncılık,destekçi
YENİ HAYAT,Feza Yayıncılık,destekçi
DOĞRU HABER,Doğru Basım ve Yayıncılık,destekçi
YENİ ASIR,Turkuvaz,destekçi
YENİ BİRLİK,Ufuk Gazetecilik,destekçi